,Power,Duration
0,3.7,7
1,1.1,8
2,1.6,9
3,4.7,4
4,2.8,7
5,3.0,8
6,2.2,4
7,4.0,4
8,4.7,10
9,5.9,7
10,1.3,5
11,1.8,7
12,3.5,4
13,1.7,5
14,1.6,6
15,4.8,7
16,5.0,8
17,4.3,9
18,2.2,9
19,3.2,3
20,1.9,2
21,1.2,7
22,4.7,10
23,5.9,3
24,5.8,8
25,1.1,10
26,3.0,2
27,1.5,2
28,3.3,2
29,3.8,7
30,4.1,2
31,5.8,3
32,3.8,7
33,5.7,5
34,4.6,8
35,1.1,4
36,4.3,3
37,1.3,2
38,2.8,5
39,4.5,2
40,4.9,5
41,5.1,2
42,4.5,9
43,1.3,7
44,3.1,9
45,3.3,7
46,1.2,8
47,1.7,3
48,3.8,6
49,5.0,6
50,1.6,6
51,5.4,2
52,4.6,2
53,3.2,9
54,3.6,9
55,4.1,7
56,4.5,3
57,5.3,4
58,5.3,9
59,1.7,9
60,4.4,3
61,1.2,10
62,6.0,4
63,4.3,2
64,4.3,4
65,3.8,4
66,3.8,2
67,4.2,4
68,3.7,7
69,2.9,3
70,5.7,5
71,5.9,2
72,2.9,6
73,2.8,4
74,4.7,7
75,1.1,4
76,4.8,8
77,4.3,10
78,5.0,9
79,2.4,6
80,1.7,8
81,2.1,3
82,1.5,3
83,2.8,7
84,5.1,1
85,2.9,3
86,6.0,2
87,5.4,7
88,1.2,9
89,5.7,6
90,3.8,6
91,4.3,6
92,4.8,3
93,4.2,6
94,5.8,6
95,2.5,7
96,4.2,3
97,5.8,9
98,3.2,8
99,5.7,10
100,4.1,7
101,2.6,6
102,3.2,8
103,2.8,6
104,4.8,1
105,5.5,9
106,2.7,4
107,4.7,1
108,4.5,7
109,1.1,3
110,2.8,4
111,3.5,2
112,3.5,5
113,3.1,9
114,5.1,4
115,3.3,6
116,4.7,8
117,1.1,1
118,3.5,4
119,5.8,7
120,5.0,7
121,3.9,5
122,5.9,6
123,1.3,9
124,2.4,8
